Summary,Issue key,Issue id,Parent id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Affects Version/s,Fix Version/s,Component/s,Component/s,Component/s,Component/s,Component/s,Due Date,Votes,Labels,Description,Environment,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Bug of),Outward issue link (Cloners),Outward issue link (Dependency),Outward issue link (Dependency),Outward issue link (Dependency),Outward issue link (Dependency),Outward issue link (Dependency),Outward issue link (Dependency),Outward issue link (Duplicate),Outward issue link (Duplicate),Outward issue link (Mention),Outward issue link (Mention),Outward issue link (Mention),Outward issue link (Mention),Outward issue link (Mention),Outward issue link (Mention),Outward issue link (Mention),Outward issue link (Mention),Outward issue link (Mention),Outward issue link (Mention),Outward issue link (Mention),Outward issue link (Mention),Outward issue link (Mention),Outward issue link (Mention),Outward issue link (Mention),Outward issue link (Parent-Child),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Resolved Bugs/Defect),Outward issue link (Workaround),Attachment,Attachment,Attachment,Attachment,Attachment,Custom field (% Closed),Custom field (AE Name),Custom field (Acceptance Criteria),Custom field (Actions),Custom field (Actual Delivery Date),Custom field (Actual Start Date),Custom field (Agile Product Owner),Custom field (Agile QA Owner),Custom field (Aha! Reference),Custom field (Assigned Date),Custom field (Browsers),Custom field (Browsers),Custom field (Bug Triaged),Custom field (Campaign Overview),Custom field (Capitalizable),Custom field (Cart Click Thru URL),Custom field (Cart number),Custom field (Client Name),Custom field (Code Review Time),Custom field (CodeReview Owner),Custom field (Commercial Required?),Custom field (Conclusion),Custom field (Conclusion),Custom field (Content Schedule),Custom field (Copy),Custom field (Core message and specific copy:),Custom field (Creative Deliverables),Custom field (Deal Team),Custom field (Defect Found),Custom field (Design Due Date:),Custom field (Desktop CPM),Custom field (Desktop Click Thru URL),Custom field (Desktop impression goal),Custom field (Dev Hrs. Actual),Custom field (Dev Hrs. Estimate),Custom field (Dev Owner),Custom field (Device),Custom field (Display Description),Custom field (Display Name),Custom field (Due Date w/time),Custom field (End Date),Custom field (End Date w/time),Custom field (Environment Tested),Custom field (Epic Colour),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Expected Revenue),Custom field (Flagged),Custom field (Flight End Date),Custom field (Flight Start Date),Custom field (Go Live),Custom field (Homepage takeover date),Custom field (If Commercial Required),"Custom field (If For Print, Color or Black/White?)",Custom field (If Logo Requested),Custom field (If Sponsored),Custom field (If sweepers/liners required),Custom field (Impact Statement),Custom field (Impacted Items),Custom field (Is this for Print or Web?),Custom field (Live Date),Custom field (Local or National),Custom field (Logo Requested),Custom field (Market),Custom field (Mobile CPM),Custom field (Mobile Click Thru URL),Custom field (Mobile impression goal),Custom field (Notes),Custom field (OLDCapitalizedOLD),Custom field (OS),Custom field (OSes),Custom field (OSes),Custom field (Official Contest Rules),Custom field (Owner),Custom field (PA#),Custom field (Page created?),Custom field (Preroll CPM),Custom field (Preroll Click Thru URL),Custom field (Preroll impression goal),Custom field (Primary Genre),Custom field (Primary Keyword),Custom field (Project Notes),Custom field (Rank),Custom field (Rank (Obsolete)),Custom field (Release Date),Custom field (Requested Delivery Date),Custom field (Requested Placement - Specify),Custom field (Review Notes),Custom field (Risk Level),Custom field (Secondary Genre),Custom field (Send to Print Date:),Custom field (Severity Level),Custom field (Specific PMS colors to use?),Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Custom field (Start Date),Custom field (Start Date w/time),Custom field (Station Sponsored?),Custom field (Station Type),Custom field (Station(s) - Specify),Custom field (Steps to Reproduce),Custom field (Story Points),Custom field (Sweepers/Liners Required?),Custom field (Temporary or Permanent),Custom field (TestEng Hrs. Actual),Custom field (TestEng Hrs. Estimate),Custom field (TestEng Owner),Custom field (TestEng Required),Custom field (Testing Notes),Custom field (Testing Points),Custom field (Timeframe),Custom field (URL),Custom field (UXD Sizing),Custom field (Web Bug Prevention strategy),Custom field (What are the dimensions?),Custom field (What is the goal of this piece?),Custom field (What is the tone?),Custom field (What was changed?),Custom field (Who is the audience?),Custom field (git pull request url),Custom field (git sha1),Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment
Update DL -> schedules migration script to new storage format,AR-1059,115334,,Story,Completed,AR,Agile Radioedit,software,howella,,,Px - Unprioritized,Completed,mbrown,mbrown,mbrown,28/Oct/15 7:41 PM,10/Nov/15 3:49 PM,03/May/19 9:53 AM,10/Nov/15 3:49 PM,,,z-Schedules (DEPRECATED),,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AR-236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|hzava7:,9223372036854775807,,,,,,,,Severity 4:  Low,,RadioEdit _20_TURBOPANDA,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Streams, Genres, and Genre Metadata should use proper schemas",AR-1057,115282,,Story,Completed,AR,Agile Radioedit,software,howella,,,Px - Unprioritized,Completed,con-ccrnyc1dot,amamut,amamut,28/Oct/15 1:01 PM,28/Oct/15 3:21 PM,03/May/19 9:53 AM,28/Oct/15 3:21 PM,,,,,,,,,0,,"Since the schema is now set to generic for these resources AMP is having an issue selecting genres from radioedit.

Update SMT to create resources with their proper schema:
* Streams (default/streams) = streams
* Genres (default/genres) = genres
* GenreMetadata (default/genres/metadata) = genre_meta
",,amamut,cccnyc1cma,con-ccrnyc1dot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Streams are created with a schema of streams.
Genres are created with a schema of genres.
GenreMetadata is created with a schema of genre_meta",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AR-237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|hzqu0n:,9223372036854775807,,,,,,,,Severity 4:  Low,,RadioEdit _19_SPECULATION,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,"28/Oct/15 3:15 PM;con-ccrnyc1dot;Tickets looks good.

verify Streams
1.Created one third-party stream with ID:6997 in SMT.
2.Switch to Explorer app, in the default bucket, click streams and search for 
http://explorer.radioedit.ihrdev.com/#/default/streams/6997
verify the schema showed as streams
3.Switch back to SMT and do some edits on the Stream 6997
4.Save and submit the change
5.Switch to Explorer app, in the default bucket, click streams and search for 
http://explorer.radioedit.ihrdev.com/#/default/streams/6997
verify the schema still showed as streams

Verify Genre:
1.In SMT, create one new genre and save the new genre 108
2.Switch to Explorer app, in the default bucket, click genres and search for 
http://explorer.radioedit.ihrdev.com/#/default/genres/108
verify the schema showed as genres
search for : http://explorer.radioedit.ihrdev.com/#/default/genres/metadata/108
verify the schema showed as genre_meta
3.Switch back to SMT and search for the new genre 108
4.Do some editions on the new genre 108
5.Switch to Explorer app, in the default bucket, click genres and search for 
http://explorer.radioedit.ihrdev.com/#/default/genres/108
verify the schema still showed as genres
search for : http://explorer.radioedit.ihrdev.com/#/default/genres/metadata/108
verify the schema still showed as genre_meta

[~ccrnyc1mcr][~amamut]",,,,,,,,,
non admins cannot create collections in Content tool,AR-1056,115249,,Bug,Completed,AR,Agile Radioedit,software,howella,,,Px - Unprioritized,Completed,mbrown,con-ccrnyc1dot,con-ccrnyc1dot,27/Oct/15 5:16 PM,08/Jan/16 3:13 PM,03/May/19 9:53 AM,08/Jan/16 3:13 PM,,,,,,,,,0,,"Getting 403 error when post to this url:
http://taxonomy.radioedit.ihrdev.com/api/collections/RadioEditQA3_Test_03/related?

",,con-ccrnyc1dot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AR-240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|hzaitz:,9223372036854775807,,,,,,,,Severity 4:  Low,,RadioEdit _20_TURBOPANDA,RadioEdit _1_Archon,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,"17/Dec/15 8:03 PM;mbrown;With the right observers added, content app will be able to request immediate import of new collections into taxonomy","08/Jan/16 3:12 PM;con-ccrnyc1dot;[~mbrown]
Tested, looks good!
Steps :
1.Log in Radioedit.ihrint.com as RadioEditQA3
2. Select Content tool
3.Click on the Collections
4. Create a new collection with name of ""RadioEdit_Test_04""
5. Add Owners' tag and Ref as ""Live""
6. Click on the Save button and verify the collections is showed up as live in the collections section
7. Verify the collection is available in the Explorer tool: http://explorer.radioedit.ihrdev.com/#/taxonomy/collections/RadioEditQA3_Test_04",,,,,,,,
Return secure assets when API is hit securely,AR-1055,115240,,Story,Completed,AR,Agile Radioedit,software,howella,,,Px - Unprioritized,Completed,mbrown,ccrnyc1rar,ccrnyc1rar,27/Oct/15 4:17 PM,29/Oct/15 10:10 PM,03/May/19 9:53 AM,29/Oct/15 3:59 PM,,,z-Schedules (DEPRECATED),,,,,,0,,"As a client who is running securely, I want all URLs in the response to be secure also so that I don't get mixed content errors.",,1110204,ccrnyc1rar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,# https://api2.iheart.com/v2/cms/service/dl/web-holiday-hats should return assets with https,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AR-236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|hzqtz3:,9223372036854775807,,,,,,,,Severity 4:  Low,,RadioEdit _19_SPECULATION,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,29/Oct/15 3:59 PM;1110204;Confirmed this is working as requested. - https://scheduler.radioedit.ihrdev.com/api/iheartcom-staging,"29/Oct/15 10:10 PM;ccrnyc1rar;Awesome, thanks guys!",,,,,,,,
Client Feature Manager,AR-1054,115209,,Epic,Completed,AR,Agile Radioedit,software,howella,,,Px - Unprioritized,Completed,,1110204,1110204,27/Oct/15 1:57 PM,15/Aug/17 2:22 PM,03/May/19 9:53 AM,15/Aug/17 2:22 PM,,,,,,,,,0,,,,1110204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ghx-label-9,,Client Feature Manager,Done,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|hzqug7:,9223372036854775807,,,,,,,,Severity 4:  Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add Favorites Targeting Type,AR-1053,115168,,Story,Completed,AR,Agile Radioedit,software,howella,,,Px - Unprioritized,Completed,gvilches,ccrnyc1rrs,ccrnyc1rrs,26/Oct/15 5:34 PM,02/Dec/15 7:18 PM,03/May/19 9:53 AM,02/Dec/15 7:18 PM,,,,,,,,,0,,"As a sweepers CMS users, I would like to target sweepers by the Favorites station type so that I can deliver a message to all Favorites radio listeners.",,ccrnyc1rrs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AGILEAMP-711,,,,,,,,,,,1. Should be added under the targeting type dropdown,,,,,,,,,,,,Capitalizable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AR-794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|hzawnj:,9223372036854775807,,,,,,,,Severity 4:  Low,,RadioEdit _21_UAV,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,19/Nov/15 9:58 PM;ccrnyc1rrs;The acceptance criteria here was that this would be a targeting type -- and simply be another selection under the targeting drop down menu. It was implemented as a new parameter with a yes/no for 'is favorites'? This could be problematic as it leaves the ability to add other targeting which we don't want. It should be just targeted to all favorites at the type level so the other options are available.,"30/Nov/15 3:23 PM;ccrnyc1rrs;So long as what's in AMP isn't breaking anything on the RE side, this is not a v1 requirement. Fine for v2.",,,,,,,,
Adswizz | Cluster number gets reset,AR-1052,115111,,Story,Completed,AR,Agile Radioedit,software,howella,,,Px - Unprioritized,Completed,amamut,amamut,amamut,23/Oct/15 10:46 PM,28/Oct/15 2:03 PM,03/May/19 9:53 AM,28/Oct/15 2:03 PM,,,,,,,,,0,,"When Adswizz was launched a script was run which parsed the zero configs to figure out which cluster streams are in and save it to radioedit. A bug has been found which instead of using the cluster number saved in stream metadata, regenerates the cluster number by using the streams market id.",,amamut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,inCluster field in stream metadata resource should not change when disabling and then re-enabling the stream.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AR-614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|hzqu0f:,9223372036854775807,,,,,,,,Severity 4:  Low,,RadioEdit _19_SPECULATION,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,"23/Oct/15 10:51 PM;amamut;Steps for testing:
1 - Enable Adswizz for a stream.
2 - Change streams market so that it would land into another cluster.
3 - Disable stream in Adswizz
4 - Enable stream in Adswizz

Stream cluster should not change.",,,,,,,,,
Create Collection Endpoint with ability to filter by content type,AR-1051,115106,,Story,Completed,AR,Agile Radioedit,software,howella,,,Px - Unprioritized,Completed,mbrown,1110204,1110204,23/Oct/15 8:00 PM,13/Jan/17 2:05 PM,03/May/19 9:53 AM,26/Oct/15 3:17 PM,,,,,,,,,0,,T2 needs ability to filter collection endpoint by content type.,,1110204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Collection endpoint can be filtered by content type.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|hzav87:,9223372036854775807,,,,,,,,Severity 4:  Low,,RadioEdit _19_SPECULATION,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SMT - Stream doesn't disappear from change queue after approval,AR-1050,115101,,Bug,Completed,AR,Agile Radioedit,software,howella,,,Px - Unprioritized,Completed,con-ccrnyc1dot,amamut,amamut,23/Oct/15 7:30 PM,30/Oct/15 4:32 PM,03/May/19 9:53 AM,29/Oct/15 7:46 PM,,,,,,,,,0,,When a stream doesn't have metadata the app is swallowing the error from radioedit when a request is sent for the stream_meta resource.,,1110204,amamut,ccrnyc1mcr,con-ccrnyc1dot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stream gets saved and removed from the change request queue.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AR-237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|hzqu13:,9223372036854775807,,,,,,,,Severity 4:  Low,,RadioEdit _19_SPECULATION,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,"23/Oct/15 7:48 PM;ccrnyc1mcr;need to get this up and staging so i can test.  [~1110204], when can we get this done?  can't have this problem in prod.  ","23/Oct/15 7:53 PM;1110204;[~ccrnyc1mcr] Hi Michael, what is the downstream impact if the streams are not removed from the request queue? Is this a blocker for saving streams?","23/Oct/15 8:01 PM;ccrnyc1mcr;- Stream history in Explorer is corrupted by not correctly distinguishing pending and live versions
- Managing change requests becomes increasingly sloppy as entries will build up.  
",23/Oct/15 8:13 PM;1110204;[~ccrnyc1mcr] Thanks Michael. I will prioritize this once Alex has bandwidth.,29/Oct/15 3:56 PM;1110204;[~con-ccrnyc1dot] Please test and notify Michael when it is ready for him to review,"29/Oct/15 7:46 PM;con-ccrnyc1dot;[~amamut] [~ccrnyc1mcr]

Steps for verifying this ticket 

1. In SMT app, search for an existing Clear Channel stream without Adswizz data (WWPW-HD, ID 6989)
2. Change the call letter from WWPW to WWPW3 and click on Submit button
3. Navigate to Change Requests section and click on Approve button
4.Open the Web Console and observe the data push to Elastic is sucessful
5.Switch to Explorer, and select default bucket-->streams-->
http://explorer.radioedit.ihrdev.com/#/default/streams/6989
Verify all the data is intact
6. Also, verify the metadata for this link is not searchable and returns a 404 error 
http://explorer.radioedit.ihrdev.com/#/default/streams/metadata/6989 
",,,,
Add geo to user manager,AR-1049,115093,,Story,Completed,AR,Agile Radioedit,software,howella,,,Px - Unprioritized,Completed,mbrown,1110204,1110204,23/Oct/15 6:00 PM,27/Oct/15 3:36 PM,03/May/19 9:53 AM,27/Oct/15 3:36 PM,,,Users,,,,,,0,,"As a user, I want to give geo membership to users",,1110204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Allow users to have membership to geo tags,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|hzav8n:,9223372036854775807,,,,,,,,Severity 4:  Low,,RadioEdit _19_SPECULATION,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Developer: cron containers support,AR-1047,115040,,Story,Completed,AR,Agile Radioedit,software,howella,,,Px - Unprioritized,Completed,mbrown,mbrown,mbrown,22/Oct/15 8:39 PM,12/Jan/16 4:20 PM,03/May/19 9:53 AM,16/Nov/15 6:25 PM,,Mario Release,Developer,,,,,,0,,Need ability to specify an entry point and times for an app to be run on a schedule. Also need an on-demand test run capability against any version of the app.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AR-238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|hzalg7:,9223372036854775807,,,,,,,,Severity 4:  Low,,RadioEdit _20_TURBOPANDA,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scheduler: cron containers,AR-1046,115039,,Story,Completed,AR,Agile Radioedit,software,howella,,,Px - Unprioritized,Completed,tterry,mbrown,mbrown,22/Oct/15 8:38 PM,12/Jan/16 4:20 PM,03/May/19 9:53 AM,04/Nov/15 2:43 PM,,Mario Release,Infrastructure,,,,,,0,Platform,"Need support for starting containers on a schedule, and for running an on-demand job against a particular version of an app (with specified entry point) for testing.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AR-238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|hzqu0v:,9223372036854775807,,,,,,,,Severity 4:  Low,,RadioEdit _19_SPECULATION,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search API for content & collection lookup,AR-1045,115033,,Story,Completed,AR,Agile Radioedit,software,howella,,,Px - Unprioritized,Completed,mbrown,1110204,1110204,22/Oct/15 7:59 PM,13/Jan/17 2:05 PM,03/May/19 9:53 AM,26/Oct/15 3:17 PM,,,,,,,,,0,,T2 requires a method of searching radioedit content and collections,,1110204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Create search api that will allow T2 to lookup collections and content items,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|hzav8f:,9223372036854775807,,,,,,,,Severity 4:  Low,,RadioEdit _19_SPECULATION,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adswizz | Add '/' to channel mount in channel object,AR-1044,114992,,Story,Completed,AR,Agile Radioedit,software,howella,,,Px - Unprioritized,Completed,amamut,amamut,amamut,22/Oct/15 3:51 PM,23/Oct/15 1:02 PM,03/May/19 9:53 AM,23/Oct/15 1:02 PM,,,,,,,,,0,,Adswizz | Add '/' to channel mount in channel object,,amamut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,This can not be tested because it's saved to Adswizz backend. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AR-614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|hzav5z:,9223372036854775807,,,,,,,,Severity 4:  Low,,RadioEdit _19_SPECULATION,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Update SMT to display all zones from stream meta,AR-1041,114939,,Story,Completed,AR,Agile Radioedit,software,howella,,,Px - Unprioritized,Completed,,amamut,amamut,21/Oct/15 7:40 PM,15/Aug/17 3:11 PM,03/May/19 9:53 AM,15/Aug/17 3:11 PM,,,,,,,,,0,,Currently SMT displays zone information from stream metadata except for the display zone. SMT should display all zones from stream metadata and should be updated.,,amamut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|hzqtaf:,9223372036854775807,,,,,,,,Severity 4:  Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Create XML ingestion application,AR-1040,114880,,Story,Completed,AR,Agile Radioedit,software,howella,,,Px - Unprioritized,Completed,amamut,1110204,1110204,21/Oct/15 1:40 PM,06/May/16 7:35 PM,03/May/19 9:53 AM,06/Apr/16 5:36 PM,,XML Ingestion 2.0,,,,,,,0,,As a user I want to be able to setup and manage the xml feeds available,,1110204,tlong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"- store XML input urls
- remove XML input urls
- review previous imports",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AR-1541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|hzas7r:,9223372036854775807,,,,,,,,Severity 4:  Low,,RadioEdit _7_Golem,,,,,,,,,,,,3.0,,,,1.0,Downey Tung,Yes,,,,,,,,,,,,,,04/Apr/16 1:38 PM;tlong;Needs history view per conversation last Friday,,,,,,,,,
Update UI to include Sites/Page config,AR-1038,114779,,Story,Completed,AR,Agile Radioedit,software,howella,,,Px - Unprioritized,Completed,aroberts,1110204,1110204,20/Oct/15 4:50 PM,12/Jan/17 4:15 PM,03/May/19 9:53 AM,04/Nov/15 3:01 PM,,,Site Manager,,,,,,0,,As a user I want to manage page level config in addition to brand details,,1110204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Allow user manage pages associated with a site
Allow user to apply brand config to pages
Allow user to associate content/collections with pages
Allow user to manage available template fields and apply bulk changes
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|hzav4n:,9223372036854775807,,,,,,,,Severity 4:  Low,,RadioEdit _19_SPECULATION,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Make ""Station"" field searchable in Brand Manager when ""Station"" was used as tag in other apps (e.g. Schedules)",AR-1037,114768,,Story,Completed,AR,Agile Radioedit,software,howella,,,Px - Unprioritized,Completed,aroberts,con-ccrnyc1dot,con-ccrnyc1dot,20/Oct/15 2:27 PM,20/Oct/15 3:23 PM,03/May/19 9:53 AM,20/Oct/15 3:23 PM,,,,,,,,,0,,,,con-ccrnyc1dot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|hzqsjz:,9223372036854775807,,,,,,,,Severity 4:  Low,,RadioEdit _18_RONIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
taxonomy has unicode woes,AR-1036,114746,,Bug,Completed,AR,Agile Radioedit,software,howella,,,Px - Unprioritized,Completed,mbrown,mbrown,mbrown,19/Oct/15 9:57 PM,20/Oct/15 2:47 PM,03/May/19 9:53 AM,20/Oct/15 2:47 PM,,,Tags,,,,,,0,,"sample error from backend request (app is not sending the full request):

{
	""code"": 400,
	""reason"": ""The JSON data you sent cannot be interpreted as JSON. JSON documents in RadioEdit are interpreted and processed so they must be valid."",
	""request"": ""[{\""id\"":\""1\"",\""jsonrpc\"":\""2.0\"",\""method\"":\""get_object\"",\""params\"":{\""_id\"":\""/states/Qu\u00e9bec, CA\"",\""bucket\"":\""taxonomy\""}}"",
	""text"": ""Bad Request"",
	""trace"": [
		[
			""/usr/local/lib/python2.7/dist-packages/flask/app.py"",
		1475,
			""full_dispatch_request"",
			""rv = self.dispatch_request()""],
		[
			""/usr/local/lib/python2.7/dist-packages/flask/app.py"",
		1461,
			""dispatch_request"",
			""return self.view_functions[rule.endpoint](**req.view_args)""],
		[
			""./api/rpc.py"",
		59,
			""rpc"",
			""for r in envelope.requests:""],
		[
			""./lib/service_envelope.py"",
		134,
			""requests"",
			""raise APIException(APIException.INVALID_JSON, request=request.data)""]
	]
}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|hzqsjj:,9223372036854775807,,,,,,,,Severity 3:  Medium,,RadioEdit _18_RONIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Searchd should create an empty search index,AR-1035,114726,,Story,Completed,AR,Agile Radioedit,software,howella,,,Px - Unprioritized,Completed,mbrown,tterry,tterry,19/Oct/15 7:35 PM,29/Oct/15 1:54 PM,03/May/19 9:53 AM,29/Oct/15 1:54 PM,,,,,,,,,0,,"When selecting to index a bucket, search should optimistically create an empty search index if the bucket is empty so search queries to not fail before the first resource it created.",,tterry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|hzqshj:,9223372036854775807,,,,,,,,Severity 4:  Low,,RadioEdit _19_SPECULATION,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Update SDK ObjectDB/Resource for TS 1.6+,AR-1034,114721,,Story,Completed,AR,Agile Radioedit,software,howella,,,Px - Unprioritized,Completed,tlong,tlong,tlong,19/Oct/15 7:03 PM,12/Jan/16 4:20 PM,03/May/19 9:53 AM,04/Nov/15 2:43 PM,,Mario Release,,,,,,,0,,,,tlong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AR-238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|hzav7z:,9223372036854775807,,,,,,,,Severity 4:  Low,,RadioEdit _19_SPECULATION,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
